Distance	H2AK119ub	Ser5 POLII
0	38.122	23.861
0.2126	78.724	66.553
0.4252	76.994	164.127
0.6378	78.096	191.583
0.8505	84.623	272.615
1.0631	85.889	333.023
1.2757	97.398	224.025
1.4883	87.989	355.571
1.7009	103.987	298.59
1.9135	80.034	304.505
2.1261	86.58	371.24
2.3387	182.839	358.588
2.5514	271.31	128.002
2.764	280.631	99.835
2.9766	253.471	128.457
3.1892	246.504	123.495
3.4018	266.86	97.888
3.6144	277.521	55.053
3.827	221.721	48.845
4.0397	150.649	158.529
4.2523	99.886	221.665
4.4649	45.777	199.5
4.6775	65.4	311.736
4.8901	97.057	263.823
5.1027	109.671	235.06
5.3153	70.25	177.347
5.528	37.214	192.859
5.7406	28.411	208.923
5.9532	54.821	219.959
6.1658	103.589	236.053
6.3784	118.962	217.027
6.591	64.847	124.888
6.8036	53.703	186.925
7.0162	56.413	248.659
7.2289	43.074	220.92
7.4415	46.395	171.78
7.6541	56.722	154.384
7.8667	72.748	336.067
8.0793	76.214	203.314
8.2919	63.287	113.812
8.5045	89.721	187.477
8.7172	105.996	223.346
8.9298	85.063	175.605
9.1424	72.512	251.61
9.355	78.478	315.456
9.5676	55.752	310.65
9.7802	47.231	200.638
9.9928	60.403	205.131
10.2055	68.241	159.061
10.4181	52.384	93.706
10.6307	31.487	93.622
