Distance(µm)	H2AK119ub	Ser5 POLII
0	230.931	463.374
0.2126	474.012	742.934
0.4252	774.258	956.11
0.6378	1102.882	997.409
0.8505	1356.468	939.318
1.0631	1460.659	902.037
1.2757	1444.405	952.108
1.4883	1422.834	1130.389
1.7009	1419.528	1047.376
1.9135	1349.13	1051.01
2.1261	1088.533	1253.628
2.3387	772.995	1460.183
2.5514	633.106	1363.529
2.764	682.06	1409.3
2.9766	722.634	1514.741
3.1892	742.811	1457.72
3.4018	697.223	1371.26
3.6144	586.906	1478.243
3.827	549.159	1493.82
4.0397	566.887	1528.187
4.2523	549.328	1501.985
4.4649	545.669	1539.208
4.6775	534.946	1406.666
4.8901	566.601	1158.068
5.1027	569.628	1203.367
5.3153	613.38	1376.102
5.528	611.093	1469.683
5.7406	584.941	1465.835
5.9532	581.236	1552.724
6.1658	573.754	1565.487
6.3784	499.435	1576.472
6.591	445.46	1616.255
6.8036	389.981	1612.286
7.0162	386.431	1567.819
7.2289	385.44	1534.999
7.4415	353.481	1475.125
7.6541	339.624	1490.367
7.8667	393.577	1499.152
8.0793	488.152	1513.704
8.2919	546.464	1425.662
8.5045	571.92	1173.15
8.7172	571.579	1103.699
8.9298	523.34	1214.548
9.1424	441.358	1326.059
9.355	390.632	1382.669
9.5676	415.091	1457.99
9.7802	461.536	1492.101
9.9928	497.998	1380.26
10.2055	471.411	1286.797
10.4181	392.642	951.497
10.6307	205.166	524.158
