Distance	H2AK119ub	Ser5 POLII
0	62.399	38.238
0.2126	141.441	68.081
0.4252	237.983	128.968
0.6378	287.877	157.19
0.8505	312.46	156.481
1.0631	344.827	132.686
1.2757	353.257	167.691
1.4883	343.931	198.622
1.7009	207.554	230.095
1.9135	121.548	271.251
2.1261	97.272	290.939
2.3387	76.486	198.9
2.5514	65.017	233.777
2.764	82.993	307.613
2.9766	77.143	306.718
3.1892	69.945	342.717
3.4018	89.576	426.829
3.6144	90.431	356.513
3.827	75.872	156.675
4.0397	65.849	184.196
4.2523	69.813	262.574
4.4649	85.328	284.2
4.6775	85.189	273.247
4.8901	53.95	226.915
5.1027	40.361	218.358
5.3153	38.456	275.039
5.528	62.862	235.44
5.7406	105.19	196.524
5.9532	115.611	155.926
6.1658	87.051	202.834
6.3784	82.219	220.287
6.591	71.464	286.448
6.8036	72.035	220.787
7.0162	78.207	148.151
7.2289	60.792	134.432
7.4415	44.251	113.448
7.6541	66.095	90.75
7.8667	74.635	68.046
8.0793	66.39	104.757
8.2919	63.922	117.945
8.5045	59.137	87.171
8.7172	59.342	76.163
8.9298	101.309	127.495
9.1424	111.346	196.614
9.355	114.565	264.871
9.5676	104.026	351.008
9.7802	84.437	313.349
9.9928	68.313	266.027
10.2055	76.502	243.374
10.4181	77.056	227.477
10.6307	72.922	245.452
10.8433	75.389	203.697
11.0559	68.636	216.559
11.2685	50.756	229.91
11.4811	71.173	227.119
11.6937	68.664	201.056
11.9064	63.178	205.49
12.119	60.008	183.605
12.3316	52.231	101.499
