Distance	H2AK119ub	Ser5 POLII
0	7.061	32.403
0.2126	18.21	56.551
0.4252	32.2	85.478
0.6378	38.165	101.238
0.8505	45.123	89.744
1.0631	54.367	84.449
1.2757	65.184	92.06
1.4883	72.917	118.817
1.7009	75.567	147.538
1.9135	82.625	157.683
2.1261	77.959	149.734
2.3387	68.255	157.651
2.5514	64.167	150.314
2.764	64.066	145.807
2.9766	57.648	179.763
3.1892	57.554	214.726
3.4018	58.221	255.64
3.6144	66.339	250.724
3.827	93.863	172.894
4.0397	136.131	153.985
4.2523	203.575	156.683
4.4649	197.967	134.858
4.6775	134.106	110.791
4.8901	134.197	109.776
5.1027	205.208	98.866
5.3153	249.381	124.523
5.528	265.494	172.96
5.7406	242.195	273.185
5.9532	143.518	304.85
6.1658	101.432	267.281
6.3784	83.66	260.418
6.591	82.155	265.22
6.8036	80.682	263.367
7.0162	95.332	209.988
7.2289	90.247	239.591
7.4415	85.946	259.688
7.6541	85.551	237.904
7.8667	89.588	258.739
8.0793	104.115	274.176
8.2919	107.111	260.37
8.5045	117.758	247.136
8.7172	120.989	293.656
8.9298	86.598	333.927
9.1424	61.996	210.785
9.355	69.778	213.378
9.5676	78.221	236.645
9.7802	82.604	237.296
9.9928	81.014	298.496
10.2055	69.721	284.947
10.4181	71.015	244.045
10.6307	70.084	218.05
10.8433	59.452	160.311
11.0559	43.71	96.325
11.2685	30.194	50.983
