Distance(µm)	H2AK119ub	Ser5 POLII
0	75.753	120.459
0.2126	103.765	145.011
0.4252	122.126	138.9
0.6378	113.595	108.423
0.8505	114.268	113.651
1.0631	71.703	143.662
1.2757	76.559	87.236
1.4883	63.711	104.697
1.7009	36.172	99.611
1.9135	36.315	91.845
2.1261	31.308	86.502
2.3387	31.263	94.153
2.5514	20.753	125.885
2.764	33.881	138.7
2.9766	39.32	100.198
3.1892	41.494	102.012
3.4018	43.027	127.177
3.6144	36.177	120.872
3.827	38.493	114.782
4.0397	39.755	152.651
4.2523	54.994	113.448
4.4649	42.94	114.431
4.6775	28.921	87.733
4.8901	35.55	89.717
5.1027	35.437	96.211
5.3153	32.937	111.9
5.528	38.476	133.33
5.7406	55.055	140.022
5.9532	54.428	148.94
6.1658	49.483	162.675
6.3784	59.841	147.595
6.591	68.582	160.598
6.8036	51.25	142.363
7.0162	37.781	70.991
7.2289	29.714	85.082
7.4415	40.297	100.262
7.6541	38.032	126.394
7.8667	33.788	113.911
8.0793	38.354	122.902
8.2919	39.077	148.753
8.5045	37.512	135.743
8.7172	33.388	156.69
8.9298	40.556	147.899
9.1424	42.23	212.072
9.355	51.648	180.558
9.5676	58.069	145.261
9.7802	56.05	150.468
9.9928	67.034	126.203
10.2055	74.981	100.409
10.4181	46.394	94.563
