Distance_(microns)	DAPI	XIST
0	2014	603
0.2082	1889.373	570.014
0.4164	2085.08	532.006
0.6246	1994.66	643.423
0.8327	2008.841	586.592
1.0409	1958.834	654.428
1.2491	2006.947	615.957
1.4573	1908.159	624.513
1.6655	1761.076	569.11
1.8737	1827.641	562.104
2.0818	1809.942	613.123
2.29	1685.082	651.934
2.4982	1778.813	600.295
2.7064	1833.142	670.405
2.9146	1939.454	656.227
3.1228	2018.159	655.686
3.331	2126.412	677.951
3.5391	2299.512	603.164
3.7473	2295.809	561.877
3.9555	2256.583	557.213
4.1637	2380.425	586.955
4.3719	2264.27	632.164
4.5801	2138.493	689.767
4.7882	2014.889	635.667
4.9964	1840.803	607.941
5.2046	1741.372	609.482
5.4128	1535.142	580.046
5.621	1318.505	606.278
5.8292	1287.362	632.176
6.0374	1390.96	660.995
6.2455	1589.344	724.904
6.4537	1476.989	715.138
6.6619	1279.312	673.571
6.8701	1358.24	638.435
7.0783	1676.373	614.262
7.2865	1804.073	603.549
7.4946	1724.522	617.164
7.7028	1864.776	614.039
7.911	1981.217	590.878
8.1192	2080.624	597.885
8.3274	2246.369	620.878
8.5356	2224.171	623.566
8.7438	2259.125	601.745
8.9519	2158.413	613.309
9.1601	1946.453	620.531
9.3683	1836.284	672.047
9.5765	1751.556	665.778
9.7847	1723.481	595.657
9.9929	1685.389	631.65
10.201	1559.318	642.614
10.4092	1655.791	699.995
10.6174	1638.739	655.533
10.8256	1772.588	680.867
11.0338	1854.797	720.569
11.242	1999.824	883.025
11.4502	2117.847	1413.236
11.6583	2342.889	2669.179
11.8665	2451.629	3634.629
12.0747	2482.22	3755.157
12.2829	2882.718	3161.08
12.4911	2822.114	2319.384
12.6993	2783.665	2021.56
12.9074	2539.714	1702.5
13.1156	2203.221	1716.03
13.3238	2150.16	1683.263
13.532	1900.616	1147.001
13.7402	1796.359	864.265
13.9484	1411.83	691.285
14.1565	934.32	667.812
14.3647	807	673
