Distance_(microns)	DAPI	XIST
0	1452	559
0.2082	1370.413	579.188
0.4164	1599.286	577.365
0.6246	1493.446	607.442
0.8327	1490.275	555.64
1.0409	1664.353	591.86
1.2491	1730.845	585.382
1.4573	1664.749	577.406
1.6655	1637.497	688.721
1.8737	1751.047	599.546
2.0818	1930.043	627.186
2.29	2008.456	642.219
2.4982	1811.494	626.447
2.7064	1735.876	640.897
2.9146	1730.366	598.887
3.1228	1686.039	606.836
3.331	1678.748	562.106
3.5391	1683.253	562.398
3.7473	1421.072	585.962
3.9555	1116.795	571.491
4.1637	1010.266	618.596
4.3719	1011.057	549.718
4.5801	937.934	544.905
4.7882	968.859	546.503
4.9964	965.312	528.548
5.2046	900.647	575.734
5.4128	1039.471	578.888
5.621	1055.173	592.738
5.8292	1180.038	546.747
6.0374	1058.261	582.81
6.2455	942.757	637.751
6.4537	935.808	589.285
6.6619	1034.344	581.664
6.8701	1011.338	609.254
7.0783	1019.799	630.74
7.2865	988.979	637.771
7.4946	1094.994	591.253
7.7028	1002.655	563.18
7.911	1077.922	532.968
8.1192	1104.826	569.602
8.3274	1265.787	612.003
8.5356	1462.844	578.042
8.7438	1329.331	570.52
8.9519	1299.845	537.641
9.1601	1386.515	550.825
9.3683	1324.058	579.484
9.5765	1530.384	588.228
9.7847	1836.3	616.382
9.9929	1866.025	639.633
10.201	1709.543	647.743
10.4092	1555.051	640.774
10.6174	1661.434	666.813
10.8256	1750.851	638.314
11.0338	1690.95	627.209
11.242	1587.691	615.517
11.4502	1490.811	601.613
11.6583	1365.09	625.409
11.8665	1410.483	630.71
12.0747	1462.675	623.309
12.2829	1347.498	591.605
12.4911	1342.387	607.452
12.6993	1394.637	628.95
12.9074	1353.194	626.806
13.1156	1394.95	617.781
13.3238	1485.739	652.433
13.532	1511.162	618.526
13.7402	1486.869	571.829
13.9484	1613.522	595.297
14.1565	1705.191	600.95
14.3647	1527.17	681.28
14.5729	1530.586	700.885
14.7811	1638.889	671.351
14.9893	1556.607	665.531
15.1975	1460.946	621.2
15.4057	1405.4	638.775
15.6138	1420.13	621.205
15.822	1341.258	608.509
16.0302	1322.535	535.575
16.2384	1219.535	555.063
16.4466	1363.657	556.29
16.6548	1366.956	625.089
16.8629	1340.839	637.628
17.0711	1495.659	608.339
17.2793	1597.97	641.035
17.4875	1554.005	571.155
17.6957	1454.718	533.984
17.9039	1425.164	630.831
18.1121	1359.314	807.751
18.3202	1151.857	800.958
18.5284	1255.523	756.511
18.7366	1339.454	824.318
18.9448	1178.41	991.791
19.153	1170.266	1141.692
19.3612	1152.444	987.11
19.5693	1316.126	1021.115
19.7775	1409.603	937.015
19.9857	1575.979	1328.092
20.1939	1745.226	2043.483
20.4021	2033.103	2498.8
20.6103	1818.047	2499.597
20.8185	1249.063	2258.928
21.0266	1020.689	923.46
21.2348	894.114	650.501
21.443	764.765	559.187
21.6512	792.084	561.374
21.8594	776.996	505.1
22.0676	825.75	529.721
22.2757	802.833	733.545
22.4839	789.082	576.729
22.6921	832	572
