Distance_(microns)	DAPI	XIST
0	230	438
0.2082	204.572	416.698
0.4164	239.817	367.272
0.6246	212.912	382.988
0.8327	251.333	446.987
1.0409	287.544	462.108
1.2491	274.68	511.311
1.4573	271.305	552.741
1.6655	284.69	586.346
1.8737	300.999	531.616
2.0818	272.873	479.387
2.29	287.11	707.765
2.4982	317.996	590.24
2.7064	320.132	630.405
2.9146	336.343	554.634
3.1228	328.49	625.779
3.331	339.301	677.117
3.5391	378.524	632.233
3.7473	356.022	565.332
3.9555	332.142	588.738
4.1637	423.448	579.48
4.3719	660.173	564.902
4.5801	1140.568	510.49
4.7882	1363	472.5
4.9964	1428.149	487.164
5.2046	1285.803	454.315
5.4128	1257.052	514.547
5.621	1379.944	479.567
5.8292	1455.732	545.336
6.0374	1408.967	537.871
6.2455	1188.141	521.749
6.4537	1267.559	460.36
6.6619	1403.783	526.312
6.8701	1507.336	574.243
7.0783	1558.801	561.829
7.2865	1580.99	607.449
7.4946	1518.452	511.265
7.7028	1488.734	460.06
7.911	1551.668	520.901
8.1192	1357.599	544.545
8.3274	1395.881	482.153
8.5356	1318.412	562.039
8.7438	1397.422	629.63
8.9519	1600.413	689.098
9.1601	1719.388	882.412
9.3683	1605.981	1382.033
9.5765	1609	2129
9.7847	1702.013	2981.782
9.9929	1766.779	3712.565
10.201	2005.379	3714.305
10.4092	1884.148	3664.021
10.6174	1681.018	2632.825
10.8256	1771.79	1643.836
11.0338	1594.347	1168.209
11.242	1645.584	830.158
11.4502	1438.673	727.321
11.6583	1345.535	671.284
11.8665	1499.913	612.999
12.0747	1461.017	624.333
12.2829	1307.363	646.79
12.4911	1276.552	667.786
12.6993	1248.428	652.621
12.9074	1088.049	602.893
13.1156	1118.494	608.829
13.3238	1071.423	565.365
13.532	1401.047	511.888
13.7402	1406.92	556.276
13.9484	1410.428	579.382
14.1565	1508.752	569.851
14.3647	1688.5	570.5
14.5729	1783.633	551.216
14.7811	1632.111	561.036
14.9893	1523.253	603.656
15.1975	1545.383	565.903
15.4057	1514.353	604.233
15.6138	1312.125	619.857
15.822	1287.645	665.977
16.0302	1291.712	700.468
16.2384	1098.406	676.394
16.4466	1358.435	584.509
16.6548	1407.962	602.569
16.8629	1360.407	693.297
17.0711	1252.512	732.319
17.2793	1551.423	712.212
17.4875	1573.781	650.253
17.6957	1497.943	656.752
17.9039	1307.213	682.251
18.1121	1264.9	674.55
18.3202	1070.299	720.847
18.5284	926.748	712.551
18.7366	963.493	684.905
18.9448	949.71	765.108
19.153	1022	870
