Distance_(microns)	DAPI	XIST
0	191	247
0.2082	244.536	232.574
0.4164	205.478	213.947
0.6246	179.325	191.016
0.8327	233.412	226.107
1.0409	217.273	210.199
1.2491	270.816	207.86
1.4573	485.297	177.136
1.6655	526.249	180.848
1.8737	576.63	177.148
2.0818	742.499	173.93
2.29	856.032	196.965
2.4982	957.968	218.709
2.7064	1086.614	175.604
2.9146	919.15	208.248
3.1228	797.326	250.982
3.331	730.235	278.731
3.5391	648.514	231.319
3.7473	590.333	208.173
3.9555	622.742	237.426
4.1637	596.053	220.816
4.3719	755.14	185.938
4.5801	758.513	198.942
4.7882	693.893	199.375
4.9964	665.69	220.384
5.2046	611.807	308.53
5.4128	709.922	346.371
5.621	632.444	289.556
5.8292	711.822	270.203
6.0374	692.782	264.848
6.2455	670.56	238.855
6.4537	637.559	214.123
6.6619	614.722	206.272
6.8701	613.911	255.988
7.0783	634.425	303.641
7.2865	654.869	280.889
7.4946	649.877	230.272
7.7028	652.611	250.982
7.911	695.338	269.736
8.1192	670.683	245.702
8.3274	730.499	270.443
8.5356	915.438	232.06
8.7438	1009.003	221.021
8.9519	916.417	219.029
9.1601	894.719	240.883
9.3683	720.222	240.198
9.5765	615.635	266.131
9.7847	653.871	267.45
9.9929	712.37	247.062
10.201	611.323	192.574
10.4092	584.009	245.505
10.6174	663.029	272.735
10.8256	689.783	269.213
11.0338	785.295	269.114
11.242	850.778	227.667
11.4502	962.048	230.029
11.6583	948.659	242.431
11.8665	994.513	250.816
12.0747	923.078	221.528
12.2829	754.333	258.734
12.4911	800.406	510.073
12.6993	803.502	1346.605
12.9074	1087.654	1534.586
13.1156	1110.864	1840.691
13.3238	1111.88	2757.852
13.532	1173.277	3115.333
13.7402	900.988	2646.288
13.9484	834.994	1690.104
14.1565	768.661	739.466
14.3647	772.097	393.613
14.5729	724.012	239.898
14.7811	686.981	214.967
14.9893	554.457	199.407
15.1975	353.592	186.859
15.4057	255.66	183.144
15.6138	210.052	148.342
15.822	165.817	103.423
16.0302	182.883	91.749
16.2384	165.577	114.926
16.4466	185.852	135.714
16.6548	178.511	134.677
16.8629	181	157
