Distance_(microns)	DAPI	XIST
0	1484	693
0.2082	1557.662	542.956
0.4164	1663.618	612.235
0.6246	1922.073	553.059
0.8327	1959.471	522.235
1.0409	1731.662	546.25
1.2491	1693.323	530.5
1.4573	1453.177	638.324
1.6655	1548.765	649.176
1.8737	1739.397	642.235
2.0818	1867.382	629.588
2.29	1665.471	664.897
2.4982	1665.471	698.824
2.7064	1850.338	610.015
2.9146	1413.059	606.353
3.1228	1387.309	559.853
3.331	1141.765	661.765
3.5391	1078.25	553
3.7473	1166.912	560.706
3.9555	1213.779	656.838
4.1637	1254.765	658.412
4.3719	1295.412	592.853
4.5801	1352.941	650.088
4.7882	1323.882	631.309
4.9964	1066.235	545.882
5.2046	1057.294	727.544
5.4128	1033.353	625.824
5.621	1172.941	586.412
5.8292	1156.471	632.824
6.0374	1200.779	726.206
6.2455	990.176	649.441
6.4537	1144.515	618.456
6.6619	1025	604.765
6.8701	791.632	671.529
7.0783	935	769.5
7.2865	996.912	852.794
7.4946	1195.765	1136.059
7.7028	1605.677	1393.353
7.911	1972.029	2617.353
8.1192	2105.691	3323.647
8.3274	2293.059	2860.118
8.5356	2207.868	1840.706
8.7438	2317	1489.294
8.9519	2020.147	1064.573
9.1601	1717.823	796.529
9.3683	1668.956	638.485
9.5765	1604.323	570.794
9.7847	1917.294	538.456
9.9929	1632.706	527.059
10.201	1372.544	532.044
10.4092	1379.941	523.353
10.6174	1585	553.25
10.8256	1883.294	517.118
11.0338	1607.015	539.147
11.242	1572.559	542.265
11.4502	1554.456	522.015
11.6583	1216.353	499.412
11.8665	1218.265	513.647
12.0747	1390.265	476.824
12.2829	1237.235	542.779
12.4911	1288.118	556.118
12.6993	1455.412	478.971
12.9074	1407.382	588.059
13.1156	1024.603	512.882
13.3238	765.529	660.824
13.532	665.397	658.206
13.7402	636.029	546.412
13.9484	627.441	548.294
14.1565	546	562
