Distance_(microns)	DAPI	XIST
0	1298	423
0.1524	1374.278	431.983
0.3048	1561.37	470.162
0.4572	1484.154	456.402
0.6096	1601.477	400.648
0.762	1605.403	417.937
0.9144	1511.296	379.586
1.0668	1442.986	413.92
1.2192	1358.68	453.638
1.3716	1433.769	457.799
1.524	1478.08	438.072
1.6764	1459.401	408.42
1.8289	1464.333	445.976
1.9813	1308.335	494.048
2.1337	1210.318	446.983
2.2861	1232.634	464.029
2.4385	1226.823	455.895
2.5909	1278.743	443.578
2.7433	1151.111	489.823
2.8957	958.677	477.44
3.0481	889.681	499.705
3.2005	960.774	509.112
3.3529	991.167	468.534
3.5053	1027.36	492.108
3.6577	1097.664	504.02
3.8101	982.286	544.985
3.9625	889.094	545.967
4.1149	985.584	506.075
4.2673	970.923	481.318
4.4197	864.217	458.241
4.5721	788.609	467.594
4.7245	750.574	489.452
4.8769	676.508	497.29
5.0293	716.94	462.056
5.1818	769.216	451.215
5.3342	778.663	531.379
5.4866	763.349	489.187
5.639	812.535	441.842
5.7914	785.612	461.175
5.9438	811.489	488.806
6.0962	806.964	438.614
6.2486	853.464	451.598
6.401	824.737	438.748
6.5534	790.953	491.249
6.7058	858.834	504.141
6.8582	968.256	503.926
7.0106	884.033	499.173
7.163	1007.521	453.109
7.3154	1181.82	476.33
7.4678	1336.697	529.159
7.6202	1689.674	592.187
7.7726	1807.139	403.908
7.925	1809.207	519.743
8.0774	1631.831	479.398
8.2298	1804.839	519.655
8.3822	1569.061	565.543
8.5347	1537.185	599.527
8.6871	1421.141	556.872
8.8395	1371.949	552.41
8.9919	1542.49	497.988
9.1443	1543.472	471.666
9.2967	1710.525	482.986
9.4491	1573.823	606.699
9.6015	1632.763	535.333
9.7539	1524.397	596.184
9.9063	1511.91	721.277
10.0587	1404.615	718.861
10.2111	1605.89	950.176
10.3635	1729.15	1139.402
10.5159	2037.873	1177.318
10.6683	2029.949	1355.691
10.8207	1924.742	1720.636
10.9731	2016.313	1746.123
11.1255	2040.061	1655.876
11.2779	2014.934	1605.304
11.4303	1982.798	1422.792
11.5827	2012.821	1166.686
11.7351	1865.097	1155.841
11.8876	1724.414	1210.297
12.04	1660.551	982.253
12.1924	1627.204	764.453
12.3448	1548.99	657.864
12.4972	1638.252	563.013
12.6496	1592.287	557.325
12.802	1564.742	490.801
12.9544	1593.064	453.398
13.1068	1629.888	423.235
13.2592	1725.086	419.964
13.4116	1589.427	386.689
13.564	1400.671	419.475
13.7164	1557.7	424.126
13.8688	1491.488	375.586
14.0212	1531.108	432.581
14.1736	1465.554	429.282
14.326	1511.784	371.309
14.4784	1431.594	387.195
14.6308	1428.729	407.702
14.7832	1280.262	401.19
14.9356	1100.99	472.279
15.088	1316.92	488.596
15.2404	1323.569	436.954
15.3929	977.208	470.993
15.5453	797.043	463.325
15.6977	582	447
