Distance_(microns)	DAPI	XIST
0	294	164
0.2082	430.25	173.861
0.4164	478.361	175.611
0.6246	422.5	201.812
0.8327	504.278	221.389
1.0409	466.715	271.181
1.2491	567	203.5
1.4573	524.764	236.458
1.6655	478.778	281.667
1.8737	477.438	366.875
2.0818	476.361	974.5
2.29	516.278	1938.229
2.4982	562.5	1285
2.7064	567.493	1585.736
2.9146	579.639	1290.889
3.1228	640.688	750.375
3.331	782.333	372.222
3.5391	531.396	267.861
3.7473	487.75	215.25
3.9555	443.84	231.583
4.1637	464.333	247.111
4.3719	412.062	214.625
4.5801	351.056	194.75
4.7882	385.639	184.09
4.9964	441	181
5.2046	497.618	192.562
5.4128	532.917	179.778
5.621	625	206
5.8292	639.111	228.167
6.0374	637.604	225.576
6.2455	645	253.5
6.4537	570.215	224.597
6.6619	558.556	244.333
6.8701	580.938	228.375
7.0783	673.583	215.944
7.2865	732.493	230.812
7.4946	665	199.5
7.7028	657.333	228.688
7.911	478.75	197.25
8.1192	479	201.125
8.3274	499.778	195
8.5356	460.285	186.882
8.7438	417.25	224
8.9519	453.257	198.319
9.1601	403	194.833
9.3683	419.5	207.312
9.5765	449.139	169.972
9.7847	396.569	179.833
9.9929	364	184
10.201	420.674	179.562
10.4092	442.722	201.944
10.6174	453.875	216.688
10.8256	510.833	193.167
11.0338	622	189.403
11.242	533	235.25
11.4502	559.729	238.056
11.6583	586	228.333
11.8665	545.75	235.875
12.0747	466.194	258.917
12.2829	593.028	311.16
12.4911	521	251
12.6993	508.993	224.264
12.9074	526.806	202.917
13.1156	569.375	229.562
13.3238	504.667	271.333
13.532	531.882	230
13.7402	484.5	257
13.9484	409.09	190.507
14.1565	454.389	196.722
14.3647	576	216.25
14.5729	509.417	254.028
14.7811	468.021	259.028
14.9893	427	198
