Distance_(microns)	DAPI	XIST
0	385	207
0.2082	469.909	193.633
0.4164	617.823	171.984
0.6246	639.734	182.592
0.8327	567.528	184.098
1.0409	637.027	209.773
1.2491	792.657	165.622
1.4573	937.501	182.085
1.6655	892.08	183.73
1.8737	721.567	193.444
2.0818	662.312	210.141
2.29	676.447	212.863
2.4982	790.112	219.955
2.7064	784.465	245.434
2.9146	835.344	202.502
3.1228	862.609	218.395
3.331	834.28	217.24
3.5391	786.883	254.03
3.7473	780.248	265.614
3.9555	817.148	281.773
4.1637	987.5	298.75
4.3719	868.477	250.778
4.5801	754.95	395.686
4.7882	793.076	334.41
4.9964	725.44	289.48
5.2046	617.777	201.762
5.4128	831.641	273.794
5.621	972.188	250.79
5.8292	1047.615	199.568
6.0374	1182.822	196.939
6.2455	1211.859	236.578
6.4537	1171.976	218.796
6.6619	983.04	239.44
6.8701	798.872	205.118
7.0783	828.063	195.721
7.2865	802.395	175.949
7.4946	724.695	192.91
7.7028	737.419	197.039
7.911	653.539	177.981
8.1192	632.991	209.528
8.3274	587.75	246.5
8.5356	582.323	249.847
8.7438	629.029	238.939
8.9519	615.881	211.331
9.1601	735.688	217.298
9.3683	754.188	203.129
9.5765	769.511	213.713
9.7847	771.328	258.941
9.9929	852.8	260.84
10.201	858.823	266.469
10.4092	906.453	256.328
10.6174	815.405	260.589
10.8256	985.468	272.76
11.0338	1007.798	285.785
11.242	1003.4	364.301
11.4502	1071.941	520.02
11.6583	908.97	530.16
11.8665	941.487	501.947
12.0747	1016.196	392.832
12.2829	874.707	346.07
12.4911	1033.438	295.688
12.6993	966.767	506.663
12.9074	1012.551	598.881
13.1156	1204.406	545.777
13.3238	1155.96	596.2
13.532	1358.141	651.039
13.7402	1071.76	719.475
13.9484	1126.543	623.637
14.1565	1098.505	817.453
14.3647	1069.325	945.355
14.5729	1156.531	1740.031
14.7811	1167.616	2125.446
14.9893	918.21	2310.16
15.1975	821.68	1594.625
15.4057	922.699	1142.029
15.6138	910.289	650.383
15.822	626.745	391.9
16.0302	682.088	293.347
16.2384	791.951	263.422
16.4466	888.389	255.26
16.6548	889	269
