0	62.632	54.028
0.2126	101.722	55.327
0.4252	81.845	66.341
0.6378	207.79	101.027
0.8505	328.249	134.399
1.0631	356.423	161.775
1.2757	381.218	181.031
1.4883	341.952	136.732
1.7009	323.267	173.394
1.9135	281.452	200.574
2.1261	165.236	226.55
2.3387	127.552	183.138
2.5514	116.725	151.405
2.764	124.866	123.704
2.9766	184.332	125.1
3.1892	160.687	158.971
3.4018	106.188	129.765
3.6144	97.688	124.175
3.827	77.778	72.6
4.0397	90.718	60.397
4.2523	118.306	66.171
4.4649	145.297	80.253
4.6775	126.368	174.012
4.8901	76.892	283.065
5.1027	96.493	237.518
5.3153	142.566	92.42
5.528	146.576	183.823
5.7406	140.059	236.849
5.9532	154.033	170.899
6.1658	140.235	191.915
6.3784	107.881	241.482
6.591	118.278	221.315
6.8036	97.755	223.69
7.0162	101.198	192.429
7.2289	120.279	176.521
7.4415	106.826	176.813
7.6541	95.556	100.724
7.8667	75.435	155.665
8.0793	100.815	289.788
8.2919	151.813	275.038
8.5045	185.584	228.328
8.7172	168.526	294.829
8.9298	129.127	326.523
9.1424	105.267	252.383
9.355	97.671	217.951
9.5676	111.229	209.801
9.7802	117.489	280.185
9.9928	83.644	271.688
10.2055	107.435	351.24
10.4181	119.099	319.45
10.6307	105.048	415.87
10.8433	97.73	336.786
11.0559	98.027	232.172
11.2685	88.004	187.357
11.4811	56.995	94.669
