Distance	H2AK119ub	Ser5 POLII
0	38.723	67.281
0.21261	57.79	149.146
0.42523	84.126	225.586
0.63784	126.796	265.172
0.85045	191.613	256.068
1.06307	258.776	311.563
1.27568	344.012	239.86
1.48829	365.165	192.981
1.70091	354.583	206.158
1.91352	354.183	213.59
2.12614	349.783	209.562
2.33875	320.464	233.088
2.55136	242.787	356.142
2.76398	169.882	605.353
2.97659	122.839	554.113
3.1892	110.369	394.227
3.40182	101.782	322.604
3.61443	89.573	343.012
3.82704	75.185	297.139
4.03966	82.363	244.363
4.25227	84.899	246.405
4.46488	84.668	206.405
4.6775	90.035	249.231
4.89011	100.119	290.209
5.10273	82.637	300.504
5.31534	83.193	307.371
5.52795	87.359	339.074
5.74057	83.111	277.219
5.95318	83.35	328.964
6.16579	88.95	356.246
6.37841	96.552	253.492
6.59102	106.235	260.009
6.80363	101.506	353.502
7.01625	98.931	313.899
7.22886	91.94	291.661
7.44147	94.293	292.945
7.65409	97.229	285.619
7.8667	105.096	308.026
8.07931	114.264	329.625
8.29193	122.634	330.501
8.50454	133.711	322.49
8.71715	150.469	291.658
8.92977	134.927	279.645
9.14238	122.736	259.185
9.355	110.929	270.525
9.56761	96.856	261.491
9.78022	104.91	257.432
9.99284	86.543	209.127
10.20545	46.076	134.121
