Distance(µm)	H2AK119ub	Ser5 POLII
0	45.807	164.396
0.1833	110.115	274.77
0.3666	228.914	399.489
0.5499	369.261	534.173
0.7332	490.648	575.114
0.9164	565.303	607.207
1.0997	626.586	761.314
1.283	614.177	835.195
1.4663	550.492	740.908
1.6496	534.923	703.525
1.8329	583.855	770.572
2.0162	631.652	802.865
2.1995	605.197	853.009
2.3827	542.137	734.84
2.566	520.21	675.191
2.7493	487.992	649.004
2.9326	491.028	704.724
3.1159	494.766	840.142
3.2992	452.156	840.122
3.4825	398.995	874.606
3.6658	387.602	942.516
3.849	379.828	943.281
4.0323	417.609	1009.277
4.2156	498.365	1173.918
4.3989	581.685	1178.604
4.5822	624.277	965.19
4.7655	655.51	904.256
4.9488	642.577	865.976
5.1321	727.29	726.527
5.3153	896.065	443.646
5.4986	1000.052	304.709
5.6819	1019.278	218.195
5.8652	991.582	207.254
6.0485	957.422	265.596
6.2318	855.199	382.398
6.4151	620.202	360.34
6.5984	431.263	469.895
6.7816	390.589	767.801
6.9649	384.996	904.532
7.1482	379.439	929.293
7.3315	353.148	1000.45
7.5148	342.64	1076.646
7.6981	369.439	827.573
7.8814	394.636	796.82
8.0647	473.447	896.151
8.2479	544.096	818.885
8.4312	526.776	729.584
8.6145	537.366	858.62
8.7978	568.488	830.381
8.9811	585.395	765.26
9.1644	548.903	798.063
9.3477	568.257	1082.698
9.531	558.857	942.596
9.7142	541.277	630.799
9.8975	524.225	566.715
10.0808	492.645	559.264
10.2641	385.752	500.164
10.4474	294.345	367.311
10.6307	286.657	271.003
10.814	260.045	191.605
10.9973	215.582	145.52
11.1805	128.816	59.715
11.3638	55.583	29.998
