Distance(µm)	H2AK119ub	Ser5 POLII
0	163.158	72.594
0.18329	297.828	275.798
0.36658	343.349	580.408
0.54986	294.868	596.101
0.73315	246.467	729.191
0.91644	251.316	626.445
1.09973	268.511	652.869
1.28301	268.059	660.23
1.4663	282.789	699.97
1.64959	313.19	805.449
1.83288	328.313	722.223
2.01616	285.666	481.163
2.19945	232.301	413.984
2.38274	181.435	442.089
2.56603	201.372	476.305
2.74931	219.093	496.08
2.9326	200.782	537.805
3.11589	181.543	751.524
3.29918	146.207	1012.741
3.48246	163.3	946.034
3.66575	189.387	796.445
3.84904	346.492	709.637
4.03233	565.371	606.488
4.21561	693.714	474.252
4.3989	679.758	450.669
4.58219	627.877	468.337
4.76548	597.23	500.701
4.94876	530.169	585.174
5.13205	348.37	405.639
5.31534	219.642	331.422
5.49863	201.052	450.422
5.68191	244.635	625.052
5.8652	241.3	702.517
6.04849	208.803	752.772
6.23178	188.749	688.125
6.41506	179.758	540.137
6.59835	190.11	511.503
6.78164	219.546	558.304
6.96493	195.706	773.831
7.14821	158.209	881.995
7.3315	183.318	948.932
7.51479	238.803	901.1
7.69808	239.731	944.699
7.88136	201.05	758.808
8.06465	187.67	636.661
8.24794	230.205	396.109
8.43123	285.173	494.194
8.61451	303.104	712.259
8.7978	285.65	828.715
8.98109	247.942	1025.228
9.16438	305.531	981.614
9.34766	358.462	798.298
9.53095	313.315	484.075
9.71424	161.699	167.634
