Distance	H2AK119ub	Ser5 POLII
0	38.355	114.809
0.2126	137.338	166.163
0.4252	234.53	157.697
0.6378	284.997	113.715
0.8505	294.163	131.021
1.0631	296.606	181.01
1.2757	233.676	213.99
1.4883	158.507	197.889
1.7009	205.989	284.478
1.9135	234.164	369.586
2.1261	222.377	507.639
2.3387	199.723	564.764
2.5514	195.458	670.167
2.764	186.927	711.68
2.9766	183.961	611.951
3.1892	201.11	574.816
3.4018	202.635	570.414
3.6144	156.049	503.954
3.827	112.788	439.703
4.0397	102.141	455.264
4.2523	106.858	658.905
4.4649	142.423	792.987
4.6775	139.117	804.41
4.8901	142.817	719.359
5.1027	126.705	739.351
5.3153	117.855	806.765
5.528	130.925	729.219
5.7406	139.782	645.843
5.9532	150.604	497.989
6.1658	156.429	379.328
6.3784	143.977	373.362
6.591	122.367	333.325
6.8036	105.949	278.969
7.0162	124.767	466.247
7.2289	130.333	443.573
7.4415	156.52	502.683
7.6541	137.996	631.506
7.8667	117.168	583.157
8.0793	132.52	460.349
8.2919	145.538	484.004
8.5045	147.755	449.882
8.7172	153.167	496.654
8.9298	167.551	625.14
9.1424	169.369	672.671
9.355	161.353	682.107
9.5676	166.691	644.828
9.7802	184.098	530.366
9.9928	171.077	550.873
10.2055	136.934	405.288
10.4181	85.55	190.731
10.6307	26.068	82.388
