Distance(µm)	H2AK119ub	Ser5 POLII
0	50.789	226.104
0.21261	83.232	266.042
0.42523	88.382	411.975
0.63784	85.233	611.773
0.85045	83.271	584.682
1.06307	73.289	386.675
1.27568	82.508	303.877
1.48829	145	311.685
1.70091	211.145	384.354
1.91352	229.692	362.947
2.12614	239.05	234.724
2.33875	290.97	206.343
2.55136	275.405	217.109
2.76398	230.303	307.406
2.97659	208.941	298.203
3.1892	143.963	432.77
3.40182	122.319	355.02
3.61443	141.445	226.836
3.82704	139.369	260.172
4.03966	126.593	255.387
4.25227	109.257	253.414
4.46488	95.934	337.586
4.6775	103.623	452.024
4.89011	110.251	603.176
5.10273	105.843	609.408
5.31534	94.723	456.243
5.52795	86.364	400.755
5.74057	118.173	534.653
5.95318	157.483	453.822
6.16579	184.008	322.783
6.37841	189.666	358.587
6.59102	161.453	444.211
6.80363	158.149	516.11
7.01625	168.772	561.524
7.22886	164.292	572.703
7.44147	146.457	591.694
7.65409	151.651	548.277
7.8667	143.283	431.915
8.07932	117.046	397.871
8.29193	116.105	520.369
8.50454	129.959	460.901
8.71716	114.407	412.463
8.92977	104.128	218.264
9.14238	43.778	83.913
