Distance(µm)	H2AK119ub	Ser5 POLII
0	96.922	98.892
0.2126	149.314	157.07
0.4252	178.57	243.542
0.6378	197.813	310.936
0.8505	232.485	358.227
1.0631	251.212	407.151
1.2757	257.763	451.674
1.4883	290.171	431.926
1.7009	267.349	430.093
1.9135	263.031	495.7
2.1261	341.819	481.228
2.3387	463.027	409.963
2.5514	530.677	339.678
2.764	552.614	312.871
2.9766	574.677	354.971
3.1892	566.496	385.375
3.4018	398.558	429.09
3.6144	293.564	494.489
3.827	198.213	487.211
4.0397	123.403	446.701
4.2523	88.023	293.341
4.4649	92.504	290.963
4.6775	124.665	270.645
4.8901	185.017	374.258
5.1027	291.519	558.69
5.3153	351.179	496.871
5.528	295.409	423.463
5.7406	263.514	429.835
5.9532	244.779	440.954
6.1658	229.836	430.249
6.3784	254.174	348.713
6.591	231.871	251.99
6.8036	224.853	232.356
7.0162	215.299	238.971
7.2289	186.867	201.935
7.4415	176.707	239.323
7.6541	151.981	294.508
7.8667	150.26	326.407
8.0793	179.391	338.375
8.2919	140.256	415.483
8.5045	131.414	421.012
8.7172	154.804	424.864
8.9298	224.402	424.212
9.1424	273.887	470.084
9.355	289.275	413.232
9.5676	278.636	404.701
9.7802	265.763	401.956
9.9928	266.807	401.992
10.2055	249.913	392.146
10.4181	256.047	492.031
10.6307	290.774	509.818
10.8433	257.934	380.315
11.0559	228.173	438.968
11.2685	219.002	407.105
11.4811	197.529	270.241
11.6937	196.984	158.997
11.9064	153.883	152.14
12.119	75.826	100.607
