Distance(µm)	H2AK119ub	Ser5 POLII
0	184.853	93.353
0.21261	444.74	165.478
0.42523	610.093	206.701
0.63784	588.153	227.594
0.85045	532.444	237.702
1.06307	532.844	256.09
1.27568	467.476	333.074
1.48829	320.962	438.241
1.70091	286.934	521.525
1.91352	291.276	558.829
2.12614	236.92	471.78
2.33875	189.833	534.351
2.55136	174.277	510.388
2.76398	207.177	518.594
2.97659	227.648	589.836
3.1892	239.376	557.91
3.40182	240.259	455.482
3.61443	214.703	352.615
3.82704	204.564	314.992
4.03966	193.234	337.889
4.25227	154.636	298.509
4.46488	154.263	294.245
4.6775	201.865	284.184
4.89011	196.557	260.421
5.10273	177.296	256.27
5.31534	200.796	287.823
5.52795	238.264	333.707
5.74057	241.601	462.191
5.95318	244.195	573.394
6.16579	250.464	580.947
6.37841	241.881	536.202
6.59102	220.977	517.405
6.80363	221.7	502.341
7.01625	226.846	541.071
7.22886	236.387	596.071
7.44147	257.273	587.503
7.65409	280.671	553.257
7.8667	284.331	469.308
8.07932	266.035	425.44
8.29193	271.284	474.17
8.50454	291.524	519.745
8.71716	244.874	527.737
8.92977	239.381	450.358
9.14238	145.89	318.21
