Distance(µm)	H2AK119ub	Ser5 POLII
0	140.088	84.291
0.2126	262.952	144.111
0.4252	340.471	276.893
0.6378	403.106	353.677
0.8505	424.129	319.84
1.0631	430.186	265.421
1.2757	389.211	258.315
1.4883	376.389	265.512
1.7009	387.411	267.088
1.9135	396.143	324.286
2.1261	393.656	396.789
2.3387	327.183	400.222
2.5514	238.28	348.4
2.764	225.071	482.993
2.9766	230.247	649.181
3.1892	180.034	438.664
3.4018	115.907	252.946
3.6144	102.08	130.627
3.827	119.342	96.412
4.0397	154.186	107.792
4.2523	190.691	144.603
4.4649	198.249	310.885
4.6775	180.903	418.809
4.8901	169.41	366.411
5.1027	146.682	342
5.3153	142.04	371.232
5.528	147.503	449.224
5.7406	141.514	509.943
5.9532	122.419	464.95
6.1658	133.698	418.951
6.3784	152.195	478.006
6.591	187.289	625.049
6.8036	201.448	702.562
7.0162	202.35	636.726
7.2289	193.015	389.987
7.4415	202.448	368.944
7.6541	213.058	413.049
7.8667	210.693	543.717
8.0793	251.154	552.68
8.2919	253.161	462.574
8.5045	211.062	518.809
8.7172	190.082	596.084
8.9298	185.934	504.505
9.1424	179.495	425.753
9.355	168.624	338.055
9.5676	204.384	322.836
9.7802	232.242	464.543
9.9928	237.891	640.188
10.2055	242.008	645.507
10.4181	222.868	580.467
10.6307	197.008	563.559
10.8433	183.586	498.417
11.0559	195.142	468.833
11.2685	206.199	376.701
11.4811	180.01	393.188
11.6937	155.009	421.739
11.9064	160.888	443.84
12.119	139.611	497.578
12.3316	125.204	517.096
12.5442	140.425	464.343
12.7568	187.715	450.566
12.9694	199.497	415.315
13.182	199.369	326.264
13.3947	185.201	274.358
13.6073	117.696	202.829
