Distance	H2AK119ub	Ser5 POLII
0	351.447	135.285
0.2126	480.783	223.469
0.4252	515.387	319.3
0.6378	495.634	298.485
0.8505	517.268	364.484
1.0631	514.905	485.303
1.2757	420.171	468.425
1.4883	322.189	518.342
1.7009	244.522	532.087
1.9135	201.057	590.808
2.1261	219.495	613.713
2.3387	248.287	478.433
2.5514	270.262	460.157
2.764	290.626	512.443
2.9766	294.158	617.795
3.1892	304.808	692.877
3.4018	274.234	585.632
3.6144	237.361	544.421
3.827	274.211	529.511
4.0397	287.975	531.357
4.2523	288.068	495.541
4.4649	308.252	501.555
4.6775	274.025	466.7
4.8901	250.442	477.342
5.1027	278.104	409.669
5.3153	259.621	457.173
5.528	240.417	412.411
5.7406	244.189	416.698
5.9532	256.099	430.527
6.1658	257.471	578.598
6.3784	225.883	613.316
6.591	208.289	560.428
6.8036	235.139	486.869
7.0162	275.846	530.812
7.2289	287.105	641.413
7.4415	256.627	749.149
7.6541	274.398	575.153
7.8667	289.624	483.084
8.0793	287.846	568.805
8.2919	280.224	718.066
8.5045	236.393	661.722
8.7172	241.379	577.039
8.9298	261.45	517.776
9.1424	269.577	637.323
9.355	255.346	662.447
9.5676	274.139	653.898
9.7802	308.44	642.108
9.9928	334.306	635.862
10.2055	379.324	530.871
10.4181	388.32	477.908
10.6307	364.075	621.981
10.8433	355.094	554.587
11.0559	401.7	538.474
11.2685	392.34	608.927
11.4811	389.238	712.77
11.6937	388.339	521.192
11.9064	387.33	515.922
12.119	359.362	521.124
12.3316	341.498	484.826
12.5442	330.46	554.378
12.7568	314.22	556.019
12.9694	296.087	501.011
13.182	272.088	366.664
