Distance	H2AK119ub	Ser5 POLII
0	125.954	277.146
0.2126	165.018	477.106
0.4252	172.666	583.739
0.6378	192.564	617.167
0.8505	185.241	588.648
1.0631	188.327	452.142
1.2757	196.287	472.914
1.4883	189.14	508.285
1.7009	153.436	664.73
1.9135	167.953	778.386
2.1261	261.772	494.648
2.3387	331.59	380.635
2.5514	336.166	351.536
2.764	310.153	260.47
2.9766	294.536	167.332
3.1892	291.232	194.094
3.4018	242.055	211.678
3.6144	167.797	207.632
3.827	120.328	221.79
4.0397	98.641	184.789
4.2523	101.342	219.103
4.4649	103.184	270.797
4.6775	101.616	284.316
4.8901	112.667	308.524
5.1027	147.963	386.94
5.3153	154.829	564.456
5.528	138.628	744.444
5.7406	130.445	772.952
5.9532	166.695	698.568
6.1658	174.217	754.93
6.3784	152.97	696.979
6.591	143.38	654.195
6.8036	162.334	523.69
7.0162	146.621	438.239
7.2289	112.711	315.727
7.4415	93.953	290.32
7.6541	89.788	287.408
7.8667	95.827	259.619
8.0793	99.375	302.163
8.2919	112.278	491.27
8.5045	131.922	631.045
8.7172	134.084	651.678
8.9298	132.478	630.985
9.1424	158.982	552.328
9.355	177.086	575.915
9.5676	181.447	611.46
9.7802	164.244	680.639
9.9928	176.273	563.845
10.2055	157.202	598.277
10.4181	151.219	683.336
10.6307	179.113	771.782
10.8433	209.627	656.881
11.0559	179.966	659.124
11.2685	167.527	569.2
11.4811	174.988	463.625
11.6937	183.478	425.35
11.9064	171.286	499.812
12.119	159.807	403.318
12.3316	143.409	433.618
12.5442	146.341	421.257
12.7568	156.229	449.129
12.9694	149.077	373.835
13.182	122.214	399.062
13.3947	106.207	379.284
13.6073	72.589	213.813
