Distance	H2AK119ub	Ser5 POLII
0	55.331	24.359
0.21261	107.595	71.28
0.42523	121.396	195.371
0.63784	139.264	308.384
0.85045	157.565	463.52
1.06307	156.191	496.246
1.27568	159.182	529.5
1.48829	155.466	520.535
1.70091	151.186	522.765
1.91352	152.242	520.491
2.12614	167.639	518.819
2.33875	180.024	429.462
2.55136	163.43	450.2
2.76398	151.064	532.282
2.97659	159.497	488.355
3.1892	170.397	455.944
3.40182	146.761	487.925
3.61443	122.646	544.208
3.82704	143.683	471.398
4.03966	169.912	468.314
4.25227	157.373	575.752
4.46488	142.676	502.862
4.6775	137.432	459.34
4.89011	139.128	443.869
5.10273	148.656	425.329
5.31534	133.902	411.995
5.52795	127.808	444.571
5.74057	113.519	451.226
5.95318	108.127	547.341
6.16579	123.835	562.853
6.37841	141.594	507.756
6.59102	146.42	440.175
6.80363	139.448	412.065
7.01625	124.734	414.649
7.22886	103.954	438.907
7.44147	106.383	519.39
7.65409	158.075	574.509
7.8667	220.784	571.39
8.07931	282.092	405.402
8.29193	310.482	282.28
8.50454	318.348	258.171
8.71715	319.008	215.031
8.92977	320.078	179.685
9.14238	305.671	162.025
9.355	191.064	132.825
9.56761	60.873	89.739
