Distance(µm)	H2AK119ub	Ser5 POLII
0	42.197	15.753
0.21261	159.827	47.513
0.42523	203.719	116.42
0.63784	239.368	142.051
0.85045	202.775	120.249
1.06307	197.866	121.181
1.27568	170.679	123.335
1.48829	164.406	127.821
1.70091	144.34	108.27
1.91352	115.7	104.276
2.12614	105.354	135.717
2.33875	87.607	162.756
2.55136	65.22	161.182
2.76398	49.589	165.02
2.97659	41.228	182.637
3.1892	36.395	209.008
3.40182	43.32	193.733
3.61443	51.82	156.46
3.82704	57.948	111.403
4.03966	59.385	76.562
4.25227	45.871	57.06
4.46488	38.362	57.075
4.6775	32.869	56.316
4.89011	32.768	52.738
5.10273	38.104	73.006
5.31534	35.32	94.629
5.52795	36.838	88.727
5.74057	41.007	69.488
5.95318	35.849	67.194
6.16579	41.453	80.741
6.37841	43.243	76.906
6.59102	45.497	63.906
6.80363	96.327	62.06
7.01625	139.728	60.378
7.22886	68.562	68.924
7.44147	40.145	71.593
7.65409	40.698	112.478
7.8667	52.769	102.157
8.07931	58.041	102.83
8.29193	47.129	120.745
8.50454	51.981	163.95
8.71715	64.749	184.907
8.92977	69.799	157.119
9.14238	55.606	185.392
9.355	44.574	147.682
9.56761	43.814	134.039
9.78022	40.982	70.923
