Distance(µm)	H2AK119ub	Ser5 POLII
0	518	221
0.21261	956.736	416.973
0.42523	1195.226	678.71
0.63784	1328.275	923.641
0.85045	1418.319	902.754
1.06307	1481.311	865.114
1.27568	1525.883	865.159
1.48829	1448.324	871.983
1.70091	1293.159	998.337
1.91352	1195.088	1147.532
2.12614	1189.491	1276.477
2.33875	1212.799	1306.34
2.55136	1138.023	1416.645
2.76398	1029.007	1529.624
2.97659	917.696	1387.283
3.1892	885.371	1325.84
3.40182	856.628	1177.307
3.61443	836.424	1170.105
3.82704	897.592	1125.908
4.03966	938.604	1044.153
4.25227	934.732	967.09
4.46488	926.427	861.31
4.6775	881.108	748.307
4.89011	863.306	760.972
5.10273	825.599	848.824
5.31534	830.555	837.67
5.52795	880.985	749.802
5.74057	909.796	692.881
5.95318	859.323	746.401
6.16579	823.423	828.254
6.37841	826.694	968.1
6.59102	845.121	864.012
6.80363	899.324	868.763
7.01625	980.84	858.886
7.22886	1037.322	945.19
7.44147	978.237	1087.855
7.65409	969.567	1251.405
7.8667	974.582	1406.158
8.07931	1097.933	1582.122
8.29193	1259.058	1577.599
8.50454	1298.367	1384.588
8.71715	1161.944	1239.153
8.92977	1139.961	1104.6
9.14238	1184.226	997.237
9.355	1176.053	873.276
9.56761	1006.87	701.942
9.78022	646.167	453.333
