Distance(µm)	H2AK119ub	Ser5 POLII
0	340.125	201.719
0.2126	445.508	289.452
0.4252	534.945	399.648
0.6378	659.314	461.465
0.8505	730.312	492.247
1.0631	726.819	543.458
1.2757	728.425	563.485
1.4883	731.464	619.51
1.7009	757.25	689.468
1.9135	788.504	687.002
2.1261	773.583	655.188
2.3387	681.232	551.049
2.5514	568.56	367.24
2.764	490.742	281.913
2.9766	385.288	241.958
3.1892	292.551	236.418
3.4018	269.794	214.507
3.6144	257.623	190.723
3.827	283.86	218.059
4.0397	366.559	219.605
4.2523	579.792	251.938
4.4649	937.977	326.338
4.6775	1186.808	384.208
4.8901	1249.725	450.318
5.1027	1239.811	576.656
5.3153	1021.098	749.754
5.528	809.147	814.934
5.7406	638.297	808.097
5.9532	531.705	766.907
6.1658	514.054	723.399
6.3784	531.062	710.5
6.591	531.153	728.351
6.8036	497.69	787.505
7.0162	535.367	857.992
7.2289	601.924	790.684
7.4415	547.108	757.118
7.6541	545.968	786.513
7.8667	618.287	761.252
8.0793	613.12	660.118
8.2919	556.57	671.818
8.5045	531.75	673.135
8.7172	515.224	705.823
8.9298	488.714	706.664
9.1424	505.188	553.428
9.355	559.458	502.492
9.5676	574.109	563.145
9.7802	588.742	604.013
9.9928	601.384	647.776
10.2055	645.751	561.667
10.4181	616.839	526.031
10.6307	532.167	576.49
10.8433	500.768	626.189
11.0559	467.394	620.778
11.2685	497.662	628.102
11.4811	595.9	671.5
11.6937	654.805	527.914
11.9064	623.04	569.683
12.119	574.384	619.125
12.3316	541.119	541.559
12.5442	481.294	499.674
12.7568	305.375	356.75
