Distance(µm)	H2AK119ub	Ser5 POLII
0	218.214	125.924
0.14796	302.192	154.663
0.29591	361.025	242.163
0.44387	383.42	301.27
0.59183	393.183	324.663
0.73978	368.799	338.565
0.88774	327.318	373.19
1.0357	286.539	465.109
1.18365	246.429	494.304
1.33161	209.909	489.483
1.47957	189.849	491.642
1.62752	191.02	514.865
1.77548	186.441	517.119
1.92343	185.789	497.078
2.07139	173.019	447.274
2.21935	164.775	417.886
2.3673	162.373	370.752
2.51526	159.984	362.852
2.66322	154.249	405.622
2.81117	152.566	482.053
2.95913	146.423	453.463
3.10709	154.694	421.119
3.25504	157.434	403.043
3.403	162.298	397.918
3.55096	171.104	402.182
3.69891	184.554	396.472
3.84687	194.253	330.032
3.99483	212.157	308.326
4.14278	205.702	310.448
4.29074	194.81	311.485
4.4387	190.703	309.604
4.58665	185.524	336.852
4.73461	187.387	383.364
4.88257	186.56	422.872
5.03052	190.085	468.03
5.17848	178.406	473.067
5.32644	180.596	429.529
5.47439	189.527	384.759
5.62235	202.643	380.878
5.7703	211.943	377.311
5.91826	197.993	444.905
6.06622	190.361	515.078
6.21417	189.921	499.486
6.36213	193.496	401.597
6.51009	192.502	344.203
6.65804	194.454	319.038
6.806	190.765	307.163
6.95396	192.455	317.256
7.10191	190.222	349.904
7.24987	171.578	334.284
