Distance_(microns)	DAPI	XIST
0	1516	435
0.2082	1560.508	380.495
0.4164	1616.665	388.447
0.6246	1500.326	419.316
0.8327	1581.431	456.046
1.0409	1852.185	446.25
1.2491	1993.509	407.833
1.4573	1996.466	404.817
1.6655	2064.022	425.229
1.8737	2152.532	373.323
2.0818	1898.433	395.75
2.29	1787.115	473.288
2.4982	1808.18	608.317
2.7064	2036.362	862.379
2.9146	2062.073	1202.534
3.1228	1968.9	1371.434
3.331	1830.468	1296.963
3.5391	1559.506	1288.524
3.7473	1609.091	996.164
3.9555	1609.06	728.516
4.1637	1720.143	483.318
4.3719	1893.025	446.919
4.5801	1911.635	390.492
4.7882	1917.201	473.337
4.9964	1911.63	520.231
5.2046	1965.01	462.664
5.4128	1922.919	406.74
5.621	1416.697	378.182
5.8292	1330.86	376.184
6.0374	1251.77	380.139
6.2455	1379.4	345.152
6.4537	1485.561	328.74
6.6619	1646.78	338.698
6.8701	1595.419	324.481
7.0783	1626.515	326.401
7.2865	1313.184	319.175
7.4946	1194.808	334.15
7.7028	1134.686	324.169
7.911	1011.274	322.925
8.1192	1062.397	329.231
8.3274	1231.319	328.965
8.5356	1505.868	322.161
8.7438	1598.731	352.345
8.9519	1400.639	349.667
9.1601	1447.794	342.626
9.3683	1551.667	325.673
9.5765	1713.478	316.462
9.7847	1690.237	335.283
9.9929	1671.333	353.101
10.201	1847.618	349.65
10.4092	1702.182	347.86
10.6174	1497.683	334.54
10.8256	1624.945	348.658
11.0338	1852.113	327.055
11.242	1654.265	324.506
11.4502	1539.072	376.925
11.6583	1561.873	351.401
11.8665	1542.75	391.454
12.0747	1727.639	425.853
12.2829	1680.46	432.959
12.4911	1663.75	431.096
12.6993	1557.53	355.123
12.9074	1561.03	376.416
13.1156	1781.888	455.985
13.3238	1787.284	420.439
13.532	1834.653	370.257
13.7402	1815.16	360.622
13.9484	1737.77	352.681
14.1565	1785.765	345.062
14.3647	1770.072	327.079
14.5729	1487.548	343.563
14.7811	1646	356
