Distance_(microns)	DAPI	XIST
0	2080	408
0.20818	1644.067	369.953
0.41637	1745.809	373.605
0.62455	1741.627	352.143
0.83274	1807.047	355.353
1.04092	1810.459	342.366
1.24911	1904.44	347.896
1.45729	2015.698	343.784
1.66548	1934.185	354.153
1.87366	1919.507	370.923
2.08185	1956.909	356.085
2.29003	1903.183	325.526
2.49821	1654.27	302.265
2.7064	1737.862	304.059
2.91458	1475.397	314.051
3.12277	1515.881	291.64
3.33095	1410.399	300.344
3.53914	1387.274	275.089
3.74732	1278.113	280.694
3.95551	1280.071	272.839
4.16369	1458.909	289.142
4.37188	1590.878	312.081
4.58006	1423.779	349.573
4.78824	1736	312
4.99643	1620.52	338.856
5.20461	1524.123	357.077
5.4128	1418.49	374.44
5.62098	1609.619	451.511
5.82917	1797.818	584.531
6.03735	1913.167	721.633
6.24554	1961.854	926.079
6.45372	2207.468	1376.92
6.66191	2154.083	1850.726
6.87009	2166.602	2196.578
7.07827	2450.374	2245.86
7.28646	2380.266	1664.751
7.49464	1922.682	1325.344
7.70283	1565.702	876.297
7.91101	1206.96	437.047
8.1192	929.112	265.181
8.32738	704.336	257.329
8.53557	573.09	276.784
8.74375	546.599	265.611
8.95194	535.105	222.454
9.16012	511.18	183.057
9.3683	448.761	185.826
9.57649	636	197
