Distance_(microns)	DAPI	XIST
0	716	270
0.20818	745.719	229.601
0.41637	656.682	221.218
0.62455	510.901	223.631
0.83274	514.611	255.847
1.04092	453.328	265.883
1.24911	628.316	293.081
1.45729	630.02	289.551
1.66548	580.009	293.416
1.87366	616.317	306.144
2.08185	617.529	393.178
2.29003	495.322	500.833
2.49821	533.397	739.478
2.7064	604.661	1464.567
2.91458	590.122	2794.449
3.12277	796.144	3050.832
3.33095	758.041	3278.103
3.53914	752.202	2959.998
3.74732	704.624	2015.783
3.95551	582.28	1044.371
4.16369	541.718	610.28
4.37188	597.857	531.122
4.58006	622.854	425.377
4.78824	597.311	306.358
4.99643	605.833	284.2
5.20461	621.764	241.384
5.4128	601.703	260.593
5.62098	554.175	289.521
5.82917	563.531	272.122
6.03735	612.452	327.954
6.24554	478.692	296.323
6.45372	476.229	267.799
6.66191	631.726	257.41
6.87009	620.508	238.654
7.07827	630.3	241.48
7.28646	610.408	234.469
7.49464	665.325	211.012
7.70283	603.627	273.783
7.91101	606.521	328.554
8.1192	586.23	244.707
8.32738	588.85	258.341
8.53557	607.459	263.569
8.74375	534.918	242.102
8.95194	541.286	253.529
9.16012	505.495	215.52
9.3683	478.264	230.957
9.57649	358.096	271.061
9.78467	246.119	269.213
9.99286	219.85	254.693
10.20104	387	222
