Distance_(microns)	DAPI	XIST
0	1635	299
0.2082	1697.733	310.058
0.4164	1599.279	335.244
0.6246	1399.69	393.941
0.8327	1394.587	385.775
1.0409	1515.917	391.041
1.2491	1478.575	383.493
1.4573	1493.96	352.099
1.6655	1448.547	359.363
1.8737	1612.333	369.677
2.0818	1666.975	366.959
2.29	1527.28	356.16
2.4982	1959.579	345.756
2.7064	2753.89	314.206
2.9146	3490.946	302.892
3.1228	3618.091	336.711
3.331	2706.93	354.903
3.5391	2144.744	369.321
3.7473	1786.13	351.323
3.9555	1833.43	324.763
4.1637	1799.703	366.653
4.3719	1884.57	340.989
4.5801	1755.52	348.6
4.7882	1991.521	332.338
4.9964	1905.86	367.012
5.2046	1781.438	379.893
5.4128	1631.295	395.336
5.621	1489.046	432.389
5.8292	1431.509	407.058
6.0374	1322.893	362.404
6.2455	1335.868	344.025
6.4537	1555.435	330.619
6.6619	1405.565	345.754
6.8701	1605.64	333.04
7.0783	1673.232	352.151
7.2865	1876.306	399.992
7.4946	1500.566	473.638
7.7028	1476.955	579.709
7.911	1548.886	1023.676
8.1192	1783.741	1329.554
8.3274	1818.091	1123.504
8.5356	1856.872	1219.239
8.7438	1889.895	2010.554
8.9519	1968.651	2379.783
9.1601	1776.04	1783.36
9.3683	1618.562	986.289
9.5765	1644.598	515.686
9.7847	1510.943	448.127
9.9929	1480.071	515.798
10.201	1338.212	487.504
10.4092	1077.438	399.273
10.6174	1073.008	407.185
10.8256	1096.841	394.984
11.0338	877.09	376.132
11.242	703.31	340.27
11.4502	714	362
