Distance_(microns)	DAPI	XIST
0	588	332
0.20818	621.76	251.26
0.41637	673.646	291.097
0.62455	578.5	258.609
0.83274	628.056	252.75
1.04092	709.939	309.255
1.24911	776.188	313.625
1.45729	796.724	262.036
1.66548	751.556	294.778
1.87366	640.312	302.203
2.08185	629.014	259.715
2.29003	699.179	287.566
2.49821	639.75	290.5
2.7064	500.405	286.849
2.91458	480.66	312.993
3.12277	507.641	382.688
3.33095	489.333	512.889
3.53914	578.401	858.812
3.74732	685.375	1859.25
3.95551	709.649	2842.772
4.16369	652.306	2826.778
4.37188	830.969	1743.797
4.58006	735.354	1469.868
4.78824	554.632	1547.325
4.99643	673	1002
5.20461	740.151	569.974
5.4128	558.701	418.5
5.62098	550.328	323.578
5.82917	595.75	327.167
6.03735	541.439	307.684
6.24554	567.062	316.125
6.45372	472.965	304.059
6.66191	548.778	371.444
6.87009	575.75	365.359
7.07827	546.542	344.66
7.28646	610.924	345.582
7.49464	609.75	373.25
7.70283	547.7	366.448
7.91101	573.104	359.736
8.1192	610.672	341.406
8.32738	666.444	320.889
8.53557	557.024	287.866
8.74375	474.812	311.688
8.95194	555.085	261.165
9.16012	655.444	292.75
9.3683	586.172	355.188
9.57649	534.736	273.521
9.78467	546.924	290.523
9.99286	578	297
