Distance_(microns)	DAPI	XIST
0	571	251
0.2082	635.322	510.938
0.4164	588.115	548.423
0.6246	536.514	535.135
0.8327	602.308	655.538
1.0409	631.111	987.567
1.2491	661.75	810.788
1.4573	691.25	1887.721
1.6655	659.077	2509.692
1.8737	716.846	2118.457
2.0818	679.442	1907.212
2.29	706.154	1874.471
2.4982	543.154	1345.692
2.7064	461.938	579.25
2.9146	557.423	532.885
3.1228	572.495	649.606
3.331	583.692	395.692
3.5391	603.615	323.202
3.7473	525.346	265.865
3.9555	417.865	258.212
4.1637	398.462	237.769
4.3719	543.88	233.894
4.5801	532.481	240.173
4.7882	527.154	236.856
4.9964	485.462	241.769
5.2046	449.885	244.865
5.4128	486.5	245.5
5.621	512.976	256.12
5.8292	500.923	279.615
6.0374	457.774	243.385
6.2455	507.365	242.077
6.4537	548.779	220.639
6.6619	556.846	230.231
6.8701	553.481	239.591
7.0783	701.346	235.154
7.2865	674.788	235.644
7.4946	812.923	245.923
7.7028	826.865	222.577
7.911	695.615	251.673
8.1192	651.812	255.688
8.3274	688.462	332.462
8.5356	650.486	248.351
8.7438	689.154	233.769
8.9519	714.38	230.909
9.1601	774.462	216.462
9.3683	666.197	230.471
9.5765	693.173	277.673
9.7847	743.731	259.327
9.9929	741.077	256.692
10.201	683.558	215.832
10.4092	780.462	225.327
10.6174	712.399	252.625
10.8256	698	283
