Distance(µm)	H2AK119ub	Ser5 POLII
0	69.625	72.375
0.14603	119.434	119.206
0.29205	167.057	179.237
0.43808	201.383	184.463
0.5841	217.679	140.016
0.73013	214.154	112.722
0.87615	206.647	99.146
1.02218	208.087	98.029
1.16821	213.989	129.689
1.31423	215.273	179.519
1.46026	201.846	228.356
1.60628	162.974	273.856
1.75231	113.432	322.886
1.89834	79.765	386.945
2.04436	70.788	414.446
2.19039	73.933	369.792
2.33641	74.147	307.74
2.48244	69.818	259.189
2.62846	68.452	223.446
2.77449	70.889	182.564
2.92052	72.117	146.632
3.06654	71.63	120.183
3.21257	66.375	104.333
3.35859	63.033	103.19
3.50462	68.154	102.008
3.65064	75.206	101.505
3.79667	81.832	107.699
3.9427	87.715	114.622
4.08872	91.446	108.939
4.23475	93.224	106.267
4.38077	90.682	106.592
4.5268	89.018	120.925
4.67282	91.048	134.986
4.81885	94.781	146.688
4.96488	102.074	168.365
5.1109	104.239	202.017
5.25693	102.8	242.264
5.40295	107.672	273.227
5.54898	113.532	332.122
5.69501	112.359	429.647
5.84103	110.876	490.858
5.98706	112.403	446.823
6.13308	121.527	365.874
6.27911	133.881	349.122
6.42513	138.5	394.222
6.57116	128.112	404.387
6.71719	119.66	386.434
6.86321	113.729	332.902
7.00924	110.46	322.276
7.15526	112.456	323.506
7.30129	113.577	310.856
7.44731	111.728	304.21
7.59334	111.424	311.806
7.73937	118.298	304.761
7.88539	121.715	300.271
8.03142	117.767	299.986
8.17744	113.326	287.31
8.32347	111.03	256.554
8.46949	102.71	226.389
8.61552	94.23	186.306
8.76155	87.256	162.107
8.90757	81.114	154.997
9.0536	78.856	134.68
9.19962	75.346	100.23
9.34565	64.174	58.795
9.49168	44.922	37.417
9.6377	25.5	31.75
