Distance(µm)	H2AK119ub	Ser5 POLII
0	70.778	93.278
0.2126	156.429	107.085
0.4252	197.674	138.852
0.6378	201.371	156.649
0.8505	211.054	161.538
1.0631	239.376	151.723
1.2757	284.302	174.876
1.4883	328.287	213.452
1.7009	338.182	285.292
1.9135	334.115	391.047
2.1261	304.824	565.823
2.3387	261.182	693.163
2.5514	220.567	756.381
2.764	208.901	767.669
2.9766	186.013	769.768
3.1892	173.547	585.039
3.4018	178.861	460.712
3.6144	178.421	551.555
3.827	205.98	726.713
4.0397	242.773	787.104
4.2523	243.443	700.959
4.4649	224.816	504.209
4.6775	204.25	412.782
4.8901	201.941	471.288
5.1027	207.28	491.684
5.3153	216.092	508.682
5.528	197.578	513.229
5.7406	162.742	505.434
5.9532	152.669	522.069
6.1658	186.408	617.412
6.3784	219.391	825.17
6.591	231.242	967.633
6.8036	236.25	902.583
7.0162	237.002	935.844
7.2289	247.099	921.199
7.4415	279.731	829.907
7.6541	318.398	828.049
7.8667	300.227	748.816
8.0793	252.632	775.048
8.2919	260.656	870.79
8.5045	298.659	924.995
8.7172	325.65	862.084
8.9298	311.229	876.449
9.1424	289.583	922.429
9.355	276.309	959.709
9.5676	261.734	972.014
9.7802	277.02	1001.515
9.9928	284.649	954.686
10.2055	283.677	787.59
10.4181	285.739	659.53
10.6307	260.326	646.925
10.8433	220.689	761.307
11.0559	246.013	818.965
11.2685	290.047	727.941
11.4811	309.768	606.806
11.6937	284.366	693.782
11.9064	246.771	828.018
12.119	249.843	712.106
12.3316	275.247	580.805
12.5442	258.064	539.329
12.7568	217.402	550.403
12.9694	182.435	521.219
13.182	152.003	529.654
13.3947	132.651	518.318
13.6073	82.944	359.306
