Distance	H2AK119ub	Ser5 POLII
0	34.516	78.202
0.21261	99.065	101.2
0.42523	187.241	125.295
0.63784	271.128	109.865
0.85045	303.348	133.523
1.06307	307.762	136.132
1.27568	312.509	139.028
1.48829	333.063	193.353
1.70091	343.94	208.64
1.91352	339.554	187.244
2.12614	323.586	225.643
2.33875	300.326	274.38
2.55136	282.322	308.997
2.76398	264.211	354.736
2.97659	221.633	374.483
3.1892	178.213	397.239
3.40182	176.24	429.685
3.61443	181.307	417.961
3.82704	175.168	411.346
4.03966	188.913	333.252
4.25227	204.114	460.853
4.46488	198.334	420.372
4.6775	183.049	439.733
4.89011	184.526	409.371
5.10273	196.453	406.988
5.31534	199.509	423.94
5.52795	187.737	431.896
5.74057	183.357	456.932
5.95318	192.019	352.54
6.16579	186.22	317.548
6.37841	192.895	362.104
6.59102	183.868	431.908
6.80363	206.457	384.874
7.01625	227.842	295.048
7.22886	212.003	295.047
7.44147	198.218	369.803
7.65409	172.754	253.67
7.8667	158.094	204.691
8.07931	157.475	231.029
8.29193	150.604	239.03
8.50454	159.249	297.434
8.71715	177.555	283.787
8.92977	191.26	175.28
9.14238	172.699	62.589
9.355	85.331	17.852
