Distance	H2AK119ub	Ser5 POLII
0	113.371	150.569
0.21261	218.171	178.105
0.42523	273.862	192.242
0.63784	275.881	265.304
0.85045	268.186	273.341
1.06307	250.307	221.078
1.27568	236.309	285.601
1.48829	215.705	389.135
1.70091	163.006	420.116
1.91352	99.452	437.955
2.12614	107.924	422.971
2.33875	125.953	441.43
2.55136	140.959	446.306
2.76398	131.568	423.369
2.97659	124.462	353.432
3.1892	130.854	445.957
3.40182	110.222	336.397
3.61443	98.015	272.037
3.82704	93.829	253.25
4.03966	100.599	273.829
4.25227	118.48	288.993
4.46488	127.093	336.36
4.6775	128.016	384.504
4.89011	133.252	409.038
5.10273	135.415	396.525
5.31534	146.399	496.911
5.52795	155.374	470.953
5.74057	159.931	399.144
5.95318	145.654	444.849
6.16579	120.073	393.491
6.37841	100.397	383.043
6.59102	104.092	394.644
6.80363	125.928	396.51
7.01625	143.605	394.451
7.22886	151.554	457.674
7.44147	145.489	465.753
7.65409	139.296	345.023
7.8667	105.13	169.754
8.07931	56.475	69.416
