0	53.821	113.827
0.21261	98.369	184.719
0.42523	145.572	276.717
0.63784	175.705	362.392
0.85045	202.69	423.076
1.06307	244.378	439.323
1.27568	203.975	475.14
1.48829	171.752	585.306
1.70091	173.741	641.742
1.91352	175.075	637.993
2.12614	192.985	646.284
2.33875	257.45	663.945
2.55136	335.97	599.401
2.76398	390.629	552.287
2.97659	437.845	597.735
3.1892	461.019	586.301
3.40182	421.742	513.306
3.61443	318.327	494.32
3.82704	207.177	488.818
4.03966	149.45	424.688
4.25227	142.758	386.991
4.46488	152.672	427.97
4.6775	148.569	445.444
4.89011	122.423	318.98
5.10273	107.337	270.809
5.31534	129.536	264.723
5.52795	160.74	347.964
5.74057	198.636	436.812
5.95318	231.602	476.355
6.16579	229.115	562.217
6.37841	226.773	686.102
6.59102	221.619	722.173
6.80363	208.758	760.578
7.01625	214.01	847.448
7.22886	226.292	769.161
7.44147	209.991	610.433
7.65409	159.85	563.703
7.8667	122.118	576.996
8.07931	138.684	485.134
8.29193	133.383	346.898
8.50454	109.518	206.367
8.71715	75.407	123.607
8.92977	61.142	113.577
9.14238	21.341	98.843
