Distance(µm)	H2AK119ub	Ser5 POLII
0	33.573	78.929
0.21261	59.65	103.902
0.42523	87.366	92.975
0.63784	113.433	90.222
0.85045	117.474	89.093
1.06307	122.148	66.224
1.27568	124.276	52.312
1.48829	95.738	73.866
1.70091	62.887	99.095
1.91352	49.293	100.989
2.12614	52.855	90.9
2.33875	69.888	102.843
2.55136	80.218	114.998
2.76398	52.373	97.061
2.97659	33.174	82.629
3.1892	33.153	57.96
3.40182	26.804	49.517
3.61443	27.038	45.397
3.82704	22.942	39.217
4.03966	15.72	28.503
4.25227	11.208	19.686
4.46488	11.408	14.866
4.6775	8.237	16.328
4.89011	8.013	22.433
5.10273	9.285	27.308
5.31534	10.329	28.595
5.52795	18.779	29.024
5.74057	24.678	29.446
5.95318	29.617	34.15
6.16579	37.752	51.452
6.37841	32.999	52.952
6.59102	30.863	73.17
6.80363	22.984	65.313
7.01625	15.423	53.734
7.22886	16.547	51.862
