Distance_(microns)	DAPI	XIST
0	91	84
0.1243	156.361	90.721
0.2486	212.404	67.383
0.3729	134.36	103.645
0.4972	136.698	91.478
0.6214	146.991	108.248
0.7457	149.339	88.325
0.87	201.561	83.585
0.9943	161.209	71.326
1.1186	162.925	84.218
1.2429	134.11	86.551
1.3672	124.073	93.852
1.4915	215.293	95.726
1.6158	211.829	90.755
1.74	202.447	105.512
1.8643	178.93	106.125
1.9886	227.76	123.701
2.1129	282.054	102.754
2.2372	245.796	106.519
2.3615	329.908	112.822
2.4858	501.557	96.218
2.6101	570.562	100.871
2.7344	496.641	116.391
2.8587	479.78	89.806
2.9829	507.911	100.199
3.1072	562.312	101.258
3.2315	548.258	94.848
3.3558	522.888	97.03
3.4801	592.109	86.949
3.6044	628.043	95.883
3.7287	594.078	99.495
3.853	545.183	90.896
3.9773	547.118	108.202
4.1015	568.391	106.174
4.2258	541.425	109.861
4.3501	656.747	114.368
4.4744	687.295	106.667
4.5987	621.833	109.798
4.723	580.455	107.72
4.8473	525.979	122.022
4.9716	526.133	140.223
5.0959	622.011	133.919
5.2201	629.116	112.94
5.3444	591.138	130.334
5.4687	500.372	159.342
5.593	448.414	164.684
5.7173	507.227	141.82
5.8416	580.625	111.895
5.9659	533.189	134.095
6.0902	540.1	152.715
6.2145	560.734	172.073
6.3388	491.129	118.318
6.463	582.716	120.851
6.5873	564.341	104.779
6.7116	579.642	127.312
6.8359	647.113	107.456
6.9602	689.998	99.217
7.0845	679.859	124.056
7.2088	531.481	125.571
7.3331	590.211	133.976
7.4574	510.973	130.074
7.5816	488.845	167.737
7.7059	517.42	113.363
7.8302	683.028	102.662
7.9545	598.178	121.245
8.0788	715.847	102.548
8.2031	646.462	133.081
8.3274	696.307	114.777
8.4517	741.969	154.574
8.576	673.188	97.88
8.7002	553.215	94.313
8.8245	520.634	84.652
8.9488	581.288	102.224
9.0731	574.792	110.48
9.1974	537.354	104.777
9.3217	484.845	113.638
9.446	513.376	126.334
9.5703	521.902	113.673
9.6946	458.149	96.811
9.8189	402.869	101.798
9.9431	400.553	107.269
10.0674	456.151	132.182
10.1917	430.138	112.203
10.316	417.928	100.669
10.4403	413.484	105.641
10.5646	377.708	122.614
10.6889	394.501	115.897
10.8132	438.295	128.011
10.9375	406.728	142.167
11.0617	435.519	116.868
11.186	451.753	117.342
11.3103	428.219	118.752
11.4346	431.934	100.889
11.5589	455.388	106.857
11.6832	414.527	118.244
11.8075	421.53	118.709
11.9318	418.462	106.681
12.0561	401.362	120.352
12.1803	414.746	123.151
12.3046	456.337	97.625
12.4289	436.708	113.231
12.5532	379.97	106.136
12.6775	383.845	113.707
12.8018	382.197	118.697
12.9261	363.076	113.419
13.0504	426.141	117.006
13.1747	410.969	144.178
13.299	451.719	145.088
13.4232	438.126	226.938
13.5475	554.923	363.208
13.6718	589.834	444.073
13.7961	677.48	488.604
13.9204	657.654	600.141
14.0447	675.993	583.824
14.169	831.826	531.432
14.2933	793.98	503.59
14.4176	702.118	457.208
14.5418	666.074	416.834
14.6661	681.355	464.838
14.7904	623.714	460.656
14.9147	652.604	260.056
15.039	627.815	267.837
15.1633	634.39	227.487
15.2876	552.735	190.307
15.4119	597.825	150.755
15.5362	599.004	117.205
15.6604	479.209	137.379
15.7847	742	127
