Distance_(microns)	DAPI	XIST
0	1405	287
0.20818	1600.235	324.706
0.41637	2176.059	338.118
0.62455	2129.118	393.294
0.83274	1962.235	376.588
1.04092	2397.647	390.824
1.24911	2027.412	368.118
1.45729	2029.765	403
1.66548	1933.471	332.412
1.87366	2351.706	298.176
2.08185	1947.235	354.412
2.29003	1915.647	329.471
2.49821	1707.941	340.059
2.7064	1491.823	418.941
2.91458	1366.706	342.471
3.12277	1385.235	395.294
3.33095	1191.882	351.471
3.53914	1392	365
3.74732	1284.706	371.824
3.95551	1409.941	418.941
4.16369	1470.471	409.412
4.37188	1771.647	399.765
4.58006	1888.294	365.529
4.78824	1779.059	445.176
4.99643	1903.471	662.294
5.20461	1901.412	1230.412
5.4128	2503.294	2099.353
5.62098	2542.529	2972
5.82917	2354.823	3828.823
6.03735	2429.765	3719.882
6.24554	2534.588	2861.294
6.45372	2594.706	2130.823
6.66191	2158.059	1444.412
6.87009	1938.529	616
7.07827	1795	378
