Distance_(microns)	DAPI	XIST
0	295	239
0.2082	471.957	299.58
0.4164	331.406	209.667
0.6246	379.435	258.391
0.8327	415.348	329.362
1.0409	358.71	279.609
1.2491	537.304	252.478
1.4573	507.188	334.348
1.6655	371.841	312.043
1.8737	433.87	278.783
2.0818	604.507	340.246
2.29	693.058	308.275
2.4982	1067.739	313.696
2.7064	1148.29	274.551
2.9146	1393.985	313.609
3.1228	1171.696	277.739
3.331	1532.725	288.406
3.5391	1580.985	298.551
3.7473	1651.217	316.435
3.9555	1611.348	310.043
4.1637	1801.261	309.464
4.3719	1726	313.391
4.5801	1471.261	348.942
4.7882	1639	307
4.9964	1644.565	326.391
5.2046	1310.87	303.594
5.4128	1179.029	307.551
5.621	1302.043	324.652
5.8292	1303.913	300.116
6.0374	1435.464	319.159
6.2455	1239.043	289.783
6.4537	1503.942	274.072
6.6619	1800.435	255.942
6.8701	1744.435	311.174
7.0783	1669.261	328.362
7.2865	1585.203	341.478
7.4946	1375.522	297.043
7.7028	1280.739	371.739
7.911	1554	363.812
8.1192	1456.261	327.783
8.3274	1236.246	315.42
8.5356	1239.957	377.652
8.7438	1213	306
8.9519	1409.739	337.942
9.1601	1814.087	291.623
9.3683	1410.913	336.435
9.5765	1787.667	346
9.7847	1720.754	329.942
9.9929	1617.522	313.87
10.201	1428.073	315.493
10.4092	1272.333	303.493
10.6174	1228.739	279.696
10.8256	1121.348	312.406
11.0338	1063.391	337.029
11.242	1011.739	315.739
11.4502	971.174	509.623
11.6583	920.029	543
11.8665	1003	669.565
12.0747	1285.927	658.319
12.2829	1251	761.899
12.4911	1239.217	881.696
12.6993	1447.087	736.58
12.9074	1703.87	544.13
13.1156	2176.435	939.174
13.3238	2188.42	932.957
13.532	1358.435	508.159
13.7402	1162.87	424.261
13.9484	1330.667	321.159
14.1565	1164.565	269.696
14.3647	952	221
