Distance_(microns)	DAPI	Gray_Value
0	129	80
0.1243	156.434	81.838
0.2486	136.515	95.212
0.3729	137.576	88.242
0.4972	120.98	81.646
0.6214	180.859	107
0.7457	170.152	127.303
0.87	201.04	114.384
0.9943	232.485	112.283
1.1186	192.818	95.455
1.2429	251.727	111.525
1.3672	364.667	139
1.4915	422.758	139.667
1.6158	377.313	187.323
1.74	531.95	252.798
1.8643	627.576	417.182
1.9886	619.354	597.495
2.1129	666.061	564.04
2.2372	706.818	514.091
2.3615	592.97	471.626
2.4858	670.192	500.364
2.6101	599.697	518.364
2.7344	619	474.556
2.8587	650.889	550.424
2.9829	639.182	522.121
3.1072	754.879	529.556
3.2315	656.95	448.091
3.3558	480.273	312
3.4801	537.121	170.02
3.6044	472.01	130.071
3.7287	459.636	124.939
3.853	425.364	129.747
3.9773	501.374	123.465
4.1015	438.333	110.667
4.2258	405.758	110.667
4.3501	501.293	110.232
4.4744	472.091	117.727
4.5987	502.96	129.364
4.723	449.313	133.535
4.8473	458.97	106.364
4.9716	406.162	110
5.0959	417.889	128.051
5.2201	469.879	122.848
5.3444	460.202	121.606
5.4687	477.889	143.556
5.593	403.364	133.091
5.7173	395.848	105.364
5.8416	347.879	137.263
5.9659	332.545	136.364
6.0902	300.535	139.364
6.2145	360.848	113.343
6.3388	459.455	108.061
6.463	467.273	110.535
6.5873	434.919	95.818
6.7116	570.818	112.636
6.8359	476.778	118.222
6.9602	501.505	121
7.0845	495.273	125.818
7.2088	504.687	114.121
7.3331	533.111	115.232
7.4574	545.879	107.152
7.5816	619.535	137.828
7.7059	590.374	130.525
7.8302	501.818	112.636
7.9545	746.04	117.091
8.0788	688.101	121.071
8.2031	612	126.667
8.3274	649.828	109.697
8.4517	711.899	106.263
8.576	632.636	132.909
8.7002	623.576	129.293
8.8245	583.303	118.535
8.9488	600.273	104.818
9.0731	588.636	101.343
9.1974	585.424	102.131
9.3217	634.667	99
9.446	628.566	104.061
9.5703	544	113.889
9.6946	542.788	103.455
9.8189	530.364	110.758
9.9431	516.384	109.283
10.0674	460.909	114.636
10.1917	453.152	105.515
10.316	534.071	118.182
10.4403	391.364	118.303
10.5646	267.606	132.636
10.6889	282.879	152.788
10.8132	215.545	129.182
10.9375	276.667	152.778
11.0617	230.242	143.303
11.186	177.636	153.727
11.3103	187.535	118.091
11.4346	198.364	117.172
11.5589	199.394	93.818
11.6832	167.051	132.242
11.8075	159.273	142.364
11.9318	144.152	114.182
12.0561	144.141	106.889
12.1803	168.657	99.172
12.3046	170	95
