Distance_(microns)	DAPI	XIST
0	955	364
0.20818	1332	971
0.41637	1551	1975
0.62455	1213	2636
0.83274	1530	2306
1.04092	1228	1359
1.24911	1009	843
1.45729	1150	992
1.66548	1371	1093
1.87366	1128	622
2.08185	1008	586
2.29003	1086	519
2.49821	1307	406
2.7064	1059	380
2.91458	1217	368
3.12277	1068	332
3.33095	1094	355
3.53914	1079	355
3.74732	998	362
3.95551	1156	353
4.16369	1163	343
4.37188	1232	275
4.58006	1186	306
4.78824	1252	296
4.99643	1216	390
5.20461	1254	428
5.4128	1221	321
5.62098	1070	287
5.82917	949	263
6.03735	1142	283
