Distance_(microns)	DAPI	XIST
0	1232	483
0.2082	1718.257	491.571
0.4164	1584.4	467.371
0.6246	1930.029	519.114
0.8327	1981.457	589.857
1.0409	1787.143	499.143
1.2491	1932.2	492.343
1.4573	2115.4	483.2
1.6655	2119.743	470.686
1.8737	2194.4	563.171
2.0818	2453.857	541
2.29	2316.114	453.771
2.4982	2476.086	514.943
2.7064	2401.971	480.057
2.9146	2327.2	483.4
3.1228	2087.857	460.857
3.331	2232.686	518.4
3.5391	2128.428	518.8
3.7473	2101.114	534.257
3.9555	1889.486	509.171
4.1637	2157.572	467.286
4.3719	1814.2	538.2
4.5801	1612.2	575.486
4.7882	1468.086	545.171
4.9964	1649.686	533.829
5.2046	1487.429	526.714
5.4128	1558.343	516.943
5.621	1634.771	510.371
5.8292	1756.4	500.4
6.0374	1988.114	497.657
6.2455	1707.714	529.143
6.4537	1969.8	499.457
6.6619	1972.743	488.629
6.8701	2029.686	555.343
7.0783	2495.8	512.571
7.2865	2998	514
7.4946	2247.114	552.314
7.7028	2694.4	493
7.911	3098.371	473.486
8.1192	3117.943	528.714
8.3274	3133.714	441.714
8.5356	3417.629	464.743
8.7438	3055.6	468.2
8.9519	2924.886	482.771
9.1601	3003.771	501.171
9.3683	2873.572	452.571
9.5765	2744.171	494.971
9.7847	2719.2	498.829
9.9929	2635.686	497.286
10.201	2681.6	464.6
10.4092	2827.714	506.143
10.6174	2835.886	558.229
10.8256	2714.771	664.343
11.0338	2888.886	792.371
11.242	2781.886	980.6
11.4502	2790.857	874.429
11.6583	3098	1292.8
11.8665	2716.6	1693.686
12.0747	2245.371	1387.657
12.2829	1423.257	785.314
12.4911	1129.857	400.143
12.6993	1136.543	310
12.9074	1161.286	251.257
13.1156	1202.8	303.6
13.3238	1137.571	317.429
13.532	1041.143	313.143
13.7402	1102.8	269.286
13.9484	1114.029	277.771
14.1565	1097.886	266.571
14.3647	1247.914	290.571
14.5729	959	292
