Distance_(microns)	DAPI	XIST
0	1279	289
0.2082	1676.826	345.607
0.4164	2070.552	373.96
0.6246	2347.852	402.238
0.8327	2533.322	352.865
1.0409	2498.722	352.393
1.2491	2379.841	367.973
1.4573	2503.186	375.387
1.6655	2495.618	348.129
1.8737	2724.65	385.605
2.0818	2508.672	370.175
2.29	2236.135	390.831
2.4982	2235.411	416.292
2.7064	2284.149	466.328
2.9146	2277.582	557.317
3.1228	2240.694	741.546
3.331	2601.802	1045.999
3.5391	2903.851	1807.117
3.7473	2837.844	2127.229
3.9555	3038.347	2077.715
4.1637	2802.403	1989.276
4.3719	2755.409	1644.07
4.5801	2348.478	1399.45
4.7882	2373.217	1175.595
4.9964	2201.164	800.146
5.2046	1960.012	521.711
5.4128	2051.863	448.697
5.621	2149.206	398.841
5.8292	2089.773	381.708
6.0374	1836.716	414.499
6.2455	2103.464	414.549
6.4537	2032.653	370.188
6.6619	2061.171	395.134
6.8701	2073.821	438.307
7.0783	2555.917	420.617
7.2865	3030.852	385.386
7.4946	3066.647	441.775
7.7028	2821.316	505.229
7.911	2346.511	470.623
8.1192	2477.723	434.626
8.3274	2557.691	448.575
8.5356	2884.805	421.578
8.7438	3024.277	401.774
8.9519	3017.672	395.012
9.1601	3016.079	394.024
9.3683	2942.38	414.651
9.5765	2978.871	419.245
9.7847	2863.992	388.158
9.9929	2717.16	425.517
10.201	2631.054	443.257
10.4092	2377.187	425.809
10.6174	2299.677	438.053
10.8256	2338.564	438.365
11.0338	2067.404	479.393
11.242	1756.58	473.184
11.4502	1264.593	544.727
11.6583	1093.156	597.972
11.8665	957.555	586.915
12.0747	922.875	507.357
12.2829	893.573	469.558
12.4911	869.431	441.123
12.6993	658	390
