Distance(µm)	H2AK119ub	Ser5 POLII
0	31.444	91.778
0.21261	72.498	93.85
0.42523	120.253	99.102
0.63784	155.519	121.82
0.85045	201.293	167.371
1.06307	313.542	278.424
1.27568	462.277	424.452
1.48829	506.618	501.049
1.70091	436.512	480.889
1.91352	284.187	493.374
2.12614	211.607	467.583
2.33875	225.696	489.959
2.55136	273.628	583.104
2.76398	316.667	794.978
2.97659	311.803	1067.402
3.1892	274.074	1064.776
3.40182	240.19	826.804
3.61443	249.908	649.402
3.82704	264.617	645.853
4.03966	266.789	720.853
4.25227	206.212	735.614
4.46488	163.911	689.208
4.6775	144.905	785.225
4.89011	136.019	863.184
5.10273	152.398	809.266
5.31534	186.114	725.183
5.52795	228.94	662.801
5.74057	211.405	663.409
5.95318	202.118	687.764
6.16579	227.753	672.866
6.37841	254.13	658.929
6.59102	259.164	600.078
6.80363	228.01	574.564
7.01625	207.711	495.037
7.22886	178.74	414.451
7.44147	144.702	343.78
7.65409	117.306	219.986
7.8667	75.111	139.167
