Distance(µm)	H2AK119ub	Ser5 POLII
0	229.125	165.562
0.2126	634.981	344.448
0.4252	1202.857	407.849
0.6378	1558.38	393.908
0.8505	1621.552	417.086
1.0631	1449.201	491.325
1.2757	1268.327	608.558
1.4883	1021.947	637.38
1.7009	822.854	624.23
1.9135	698.061	636.293
2.1261	646.097	708.516
2.3387	636.798	734.118
2.5514	629.934	689.757
2.764	640.642	561.752
2.9766	684.277	371.828
3.1892	673.986	284.058
3.4018	628.578	316.968
3.6144	575.279	349.812
3.827	600.837	456.243
4.0397	696.626	601.321
4.2523	779.902	758.888
4.4649	693.154	771.378
4.6775	672.123	818.719
4.8901	669.783	776.852
5.1027	599.347	770.57
5.3153	569.677	695.15
5.528	527.562	530.871
5.7406	443.337	451.733
5.9532	427.31	460.236
6.1658	452.06	458.731
6.3784	485.556	480.718
6.591	513.461	449.44
6.8036	537.433	458.368
7.0162	546.782	503.865
7.2289	545.577	436.565
7.4415	520.629	399.788
7.6541	462.045	336.583
7.8667	412.359	223.678
8.0793	437.35	215.937
8.2919	490.7	246.809
8.5045	599.872	438.614
8.7172	733.799	728.64
8.9298	753.909	748.494
9.1424	788.165	787.116
9.355	769.253	807.471
9.5676	707.764	863.673
9.7802	658.475	916.128
9.9928	667.406	814.176
10.2055	669.597	756.574
10.4181	717.222	616.339
10.6307	720.275	540.713
10.8433	742.09	473.738
11.0559	779.685	528.371
11.2685	819.134	580.03
11.4811	829.021	565.319
11.6937	833.319	567.096
11.9064	887.794	626.865
12.119	861.742	601.463
12.3316	800.59	579.117
12.5442	815.093	537.948
12.7568	797.853	490.61
12.9694	771.679	609.535
13.182	732.911	684.609
13.3947	625.696	780.463
13.6073	598.409	817.105
13.8199	648.607	783.081
14.0325	805.208	656.797
14.2451	930.497	673.483
14.4577	982.595	709.54
14.6703	977.342	809.944
14.8829	928.999	778.503
15.0956	851.561	646.491
15.3082	693.767	371.877
15.5208	351	106
