Distance	H2AK119ub	Ser5 POLII
0	101.741	289.747
0.2126	261.493	397.414
0.4252	362.035	474.448
0.6378	453.655	406.769
0.8505	595.844	379.858
1.0631	649.799	311.081
1.2757	662.504	333.462
1.4883	643.692	418.575
1.7009	631.275	399.416
1.9135	630.691	392.066
2.1261	615.779	429.976
2.3387	534.208	457.499
2.5514	458.101	433.024
2.764	408.953	472.648
2.9766	359.038	525.28
3.1892	392.612	564.923
3.4018	413.041	584.675
3.6144	402.469	584.736
3.827	386.028	588.425
4.0397	373.794	460.33
4.2523	404.713	401.563
4.4649	429.866	399.367
4.6775	436.385	441.563
4.8901	414.052	477.535
5.1027	394.279	517.728
5.3153	391.892	605.542
5.528	372.319	650.597
5.7406	297.258	861.66
5.9532	267.105	732.798
6.1658	288.236	645.61
6.3784	311.8	695.626
6.591	350.277	655.362
6.8036	383.835	567.876
7.0162	360.164	553.16
7.2289	332.962	500.532
7.4415	308.688	551.911
7.6541	297.758	605.33
7.8667	306.541	593.768
8.0793	325.278	633.565
8.2919	351.114	639.255
8.5045	369.444	594.967
8.7172	372.246	588.683
8.9298	411.796	492.671
9.1424	406.238	443.025
9.355	348.71	532.933
9.5676	251.722	594.506
9.7802	199.437	447.781
9.9928	266.295	293.108
10.2055	395.236	391.763
10.4181	465.019	454.84
10.6307	444.875	598.837
10.8433	446.106	673.691
11.0559	428.619	586.688
11.2685	326.697	369.883
11.4811	145.982	251.45
